image_id,image_file,pts_file,dataset_type,train_type,face_rect_x1,face_rect_y1,face_rect_x2,face_rect_y2,landmarks_in_bbox
1051618982_1,1051618982_1.jpg,1051618982_1.pts,300W,train,422.0,506.0,778.0,150.0,68.0
105300174_1,105300174_1.jpg,105300174_1.pts,300W,train,66.0,1016.0,954.0,128.0,68.0
105300174_2,105300174_2.jpg,105300174_2.pts,300W,train,312.0,949.0,1051.0,209.0,68.0
105455387_1,105455387_1.jpg,105455387_1.pts,300W,train,185.0,1552.0,1463.0,274.0,68.0
106242334_1,106242334_1.jpg,106242334_1.pts,300W,train,108.0,694.0,622.0,180.0,68.0
106348540_1,106348540_1.jpg,106348540_1.pts,300W,train,66.0,831.0,954.0,-56.0,68.0
10697993_1,10697993_1.jpg,10697993_1.pts,300W,train,55.0,949.0,794.0,209.0,68.0
1070861406_1,1070861406_1.jpg,1070861406_1.pts,300W,train,260.0,949.0,999.0,209.0,68.0
107288942_1,107288942_1.jpg,107288942_1.pts,300W,train,80.0,1293.0,1145.0,228.0,68.0
107473045_1,107473045_1.jpg,107473045_1.pts,300W,train,-1377.0,3314.0,2863.0,-501.0,68.0
1079156334_1,1079156334_1.jpg,1079156334_1.pts,300W,train,80.0,1219.0,1145.0,154.0,68.0
108349477_1,108349477_1.jpg,108349477_1.pts,300W,train,302.0,1219.0,1366.0,154.0,68.0
1084919955_1,1084919955_1.jpg,1084919955_1.pts,300W,train,-259.0,831.0,725.0,-56.0,68.0
109209934_1,109209934_1.jpg,109209934_1.pts,300W,train,-80.0,1552.0,1197.0,274.0,68.0
1092587063_1,1092587063_1.jpg,1092587063_1.pts,300W,train,209.0,667.0,637.0,239.0,68.0
110520830_5,110520830_5.jpg,110520830_5.pts,300W,train,0.0,402.0,247.0,155.0,68.0
110520830_6,110520830_6.jpg,110520830_6.pts,300W,train,137.0,248.0,385.0,0.0,68.0
110592002_1,110592002_1.jpg,110592002_1.pts,300W,train,782.0,2377.0,2990.0,169.0,68.0
110886318_1,110886318_1.jpg,110886318_1.pts,300W,train,73.0,516.0,587.0,2.0,68.0
110890106_1,110890106_1.jpg,110890106_1.pts,300W,train,259.0,833.0,875.0,217.0,68.0
1110051647_1,1110051647_1.jpg,1110051647_1.pts,300W,train,260.0,949.0,999.0,209.0,68.0
1110051647_2,1110051647_2.jpg,1110051647_2.pts,300W,train,216.0,790.0,833.0,174.0,68.0
111076519_2,111076519_2.jpg,111076519_2.pts,300W,train,997.0,798.0,1245.0,550.0,68.0
1111575413_1,1111575413_1.jpg,1111575413_1.pts,300W,train,124.0,421.0,421.0,124.0,68.0
111168419_1,111168419_1.jpg,111168419_1.pts,300W,train,30.0,349.0,459.0,-126.0,68.0
1112052992_1,1112052992_1.jpg,1112052992_1.pts,300W,train,209.0,795.0,948.0,55.0,68.0
111247636_1,111247636_1.jpg,111247636_1.pts,300W,train,216.0,705.0,833.0,88.0,68.0
111510095_1,111510095_1.jpg,111510095_1.pts,300W,train,25.0,481.0,381.0,125.0,68.0
1115234911_1,1115234911_1.jpg,1115234911_1.pts,300W,train,374.0,954.0,1262.0,66.0,68.0
111835766_1,111835766_1.jpg,111835766_1.pts,300W,train,25.0,456.0,381.0,100.0,68.0
111836119_1,111836119_1.jpg,111836119_1.pts,300W,train,149.0,456.0,505.0,100.0,68.0
112117768_1,112117768_1.jpg,112117768_1.pts,300W,train,158.0,949.0,897.0,209.0,68.0
1124465440_1,1124465440_1.jpg,1124465440_1.pts,300W,train,345.0,919.0,961.0,302.0,68.0
1125456779_1,1125456779_1.jpg,1125456779_1.pts,300W,train,215.0,658.0,729.0,144.0,68.0
112655203_1,112655203_1.jpg,112655203_1.pts,300W,train,598.0,1219.0,1662.0,154.0,68.0
1128654081_1,1128654081_1.jpg,1128654081_1.pts,300W,train,259.0,619.0,875.0,3.0,68.0
1129801707_1,1129801707_1.jpg,1129801707_1.pts,300W,train,-56.0,769.0,830.0,-117.0,68.0
1130084326_1,1130084326_1.jpg,1130084326_1.pts,300W,train,1457.0,846.0,1885.0,417.0,68.0
1130084326_2,1130084326_2.jpg,1130084326_2.pts,300W,train,422.0,778.0,778.0,422.0,68.0
1130084326_3,1130084326_3.jpg,1130084326_3.pts,300W,train,888.0,462.0,1184.0,166.0,68.0
1139324862_1,1139324862_1.jpg,1139324862_1.pts,300W,train,124.0,431.0,480.0,75.0,68.0
114226877_1,114226877_1.jpg,114226877_1.pts,300W,train,312.0,1077.0,1200.0,190.0,68.0
114487865_1,114487865_1.jpg,114487865_1.pts,300W,train,648.0,2076.0,2182.0,542.0,68.0
114501272_1,114501272_1.jpg,114501272_1.pts,300W,train,779.0,2620.0,2619.0,780.0,68.0
114530171_1,114530171_1.jpg,114530171_1.pts,300W,train,215.0,694.0,729.0,180.0,68.0
1150779944_1,1150779944_1.jpg,1150779944_1.pts,300W,train,376.0,1293.0,1440.0,228.0,68.0
1156177278_1,1156177278_1.jpg,1156177278_1.pts,300W,train,11.0,1853.0,1853.0,13.0,68.0
11564757_1,11564757_1.jpg,11564757_1.pts,300W,train,-58.0,430.0,370.0,1.0,68.0
11564757_2,11564757_2.jpg,11564757_2.pts,300W,train,209.0,400.0,637.0,-28.0,68.0
1163855977_1,1163855977_1.jpg,1163855977_1.pts,300W,train,629.0,1818.0,1907.0,541.0,68.0
1165647416_1,1165647416_1.jpg,1165647416_1.pts,300W,train,108.0,551.0,622.0,37.0,68.0
1166270350_1,1166270350_1.jpg,1166270350_1.pts,300W,train,209.0,608.0,637.0,179.0,68.0
1167462532_1,1167462532_1.jpg,1167462532_1.pts,300W,train,45.0,619.0,661.0,3.0,68.0
117402372_1,117402372_1.jpg,117402372_1.pts,300W,train,106.0,795.0,845.0,55.0,68.0
117518507_1,117518507_1.jpg,117518507_1.pts,300W,train,650.0,1981.0,2492.0,141.0,68.0
117634057_1,117634057_1.jpg,117634057_1.pts,300W,train,216.0,705.0,833.0,88.0,68.0
117932364_1,117932364_1.jpg,117932364_1.pts,300W,train,189.0,1016.0,1077.0,128.0,68.0
1181568002_1,1181568002_1.jpg,1181568002_1.pts,300W,train,650.0,2109.0,2492.0,267.0,68.0
118471529_1,118471529_1.jpg,118471529_1.pts,300W,train,144.0,444.0,658.0,-69.0,68.0
118554337_1,118554337_1.jpg,118554337_1.pts,300W,train,-291.0,2837.0,1917.0,629.0,68.0
118736691_1,118736691_1.jpg,118736691_1.pts,300W,train,222.0,1437.0,1756.0,-95.0,68.0
118736733_1,118736733_1.jpg,118736733_1.pts,300W,train,174.0,576.0,790.0,-39.0,68.0
118736733_2,118736733_2.jpg,118736733_2.pts,300W,train,174.0,876.0,790.0,260.0,68.0
118736828_1,118736828_1.jpg,118736828_1.pts,300W,train,260.0,1000.0,999.0,261.0,68.0
118737215_1,118737215_1.jpg,118737215_1.pts,300W,train,451.0,1108.0,1729.0,-168.0,68.0
1188369899_1,1188369899_1.jpg,1188369899_1.pts,300W,train,66.0,769.0,954.0,-117.0,68.0
1195037433_1,1195037433_1.jpg,1195037433_1.pts,300W,train,45.0,533.0,661.0,-82.0,68.0
1198061571_1,1198061571_1.jpg,1198061571_1.pts,300W,train,650.0,2109.0,2492.0,267.0,68.0
1199742157_1,1199742157_1.jpg,1199742157_1.pts,300W,train,312.0,897.0,1051.0,158.0,68.0
1204062305_1,1204062305_1.jpg,1204062305_1.pts,300W,train,347.0,506.0,703.0,150.0,68.0
1207566864_1,1207566864_1.jpg,1207566864_1.pts,300W,train,158.0,640.0,897.0,-98.0,68.0
1207662328_2,1207662328_2.jpg,1207662328_2.pts,300W,train,174.0,790.0,790.0,174.0,68.0
120801881_1,120801881_1.jpg,120801881_1.pts,300W,train,144.0,587.0,658.0,73.0,68.0
1208068331_1,1208068331_1.jpg,1208068331_1.pts,300W,train,268.0,1725.0,2108.0,-115.0,68.0
121204156_1,121204156_1.jpg,121204156_1.pts,300W,train,-82.0,705.0,533.0,88.0,68.0
1212934783_1,1212934783_1.jpg,1212934783_1.pts,300W,train,524.0,2109.0,2364.0,267.0,68.0
121720434_1,121720434_1.jpg,121720434_1.pts,300W,train,180.0,551.0,694.0,37.0,68.0
1218567979_3,1218567979_3.jpg,1218567979_3.pts,300W,train,287.0,623.0,801.0,109.0,68.0
1220825867_1,1220825867_1.jpg,1220825867_1.pts,300W,train,251.0,892.0,1138.0,5.0,68.0
122276700_1,122276700_1.jpg,122276700_1.pts,300W,train,215.0,623.0,729.0,109.0,68.0
1224500832_1,1224500832_1.jpg,1224500832_1.pts,300W,train,-1112.0,3579.0,3128.0,-236.0,68.0
122942927_1,122942927_1.jpg,122942927_1.pts,300W,train,209.0,519.0,637.0,90.0,68.0
1233476865_1,1233476865_1.jpg,1233476865_1.pts,300W,train,19.0,2852.0,2668.0,203.0,68.0
1234292822_1,1234292822_1.jpg,1234292822_1.pts,300W,train,322.0,2684.0,2530.0,476.0,68.0
1238081332_1,1238081332_1.jpg,1238081332_1.pts,300W,train,251.0,658.0,765.0,144.0,68.0
1238488784_1,1238488784_1.jpg,1238488784_1.pts,300W,train,374.0,1262.0,1262.0,375.0,68.0
1240101737_1,1240101737_1.jpg,1240101737_1.pts,300W,train,542.0,1969.0,2075.0,436.0,68.0
1240746154_1,1240746154_1.jpg,1240746154_1.pts,300W,train,-33.0,480.0,480.0,-33.0,68.0
1242475639_1,1242475639_1.jpg,1242475639_1.pts,300W,train,-259.0,831.0,725.0,-56.0,68.0
12425820_1,12425820_1.jpg,12425820_1.pts,300W,train,179.0,578.0,607.0,150.0,68.0
124787194_1,124787194_1.jpg,124787194_1.pts,300W,train,259.0,833.0,875.0,217.0,68.0
1252885598_1,1252885598_1.jpg,1252885598_1.pts,300W,train,185.0,1818.0,1463.0,541.0,68.0
1259817140_1,1259817140_1.jpg,1259817140_1.pts,300W,train,451.0,1641.0,1729.0,363.0,68.0
1263447841_1,1263447841_1.jpg,1263447841_1.pts,300W,train,66.0,1139.0,954.0,251.0,68.0
1265948983_1,1265948983_1.jpg,1265948983_1.pts,300W,train,88.0,705.0,704.0,88.0,68.0
1265969136_1,1265969136_1.jpg,1265969136_1.pts,300W,train,108.0,551.0,622.0,37.0,68.0
1266283652_1,1266283652_1.jpg,1266283652_1.pts,300W,train,312.0,1000.0,1051.0,261.0,68.0
1266283652_2,1266283652_2.jpg,1266283652_2.pts,300W,train,302.0,833.0,918.0,217.0,68.0
126968967_1,126968967_1.jpg,126968967_1.pts,300W,train,329.0,1756.0,1862.0,223.0,68.0
1269816217_1,1269816217_1.jpg,1269816217_1.pts,300W,train,179.0,608.0,607.0,179.0,68.0
1269874180_1,1269874180_1.jpg,1269874180_1.pts,300W,train,934.0,2224.0,3144.0,16.0,68.0
1270609209_1,1270609209_1.jpg,1270609209_1.pts,300W,train,215.0,623.0,729.0,109.0,68.0
1270798682_2,1270798682_2.jpg,1270798682_2.pts,300W,train,180.0,658.0,694.0,144.0,68.0
1271089376_1,1271089376_1.jpg,1271089376_1.pts,300W,train,312.0,949.0,1051.0,209.0,68.0
1271089376_2,1271089376_2.jpg,1271089376_2.pts,300W,train,302.0,919.0,918.0,302.0,68.0
127567332_1,127567332_1.jpg,127567332_1.pts,300W,train,2.0,705.0,619.0,88.0,68.0
1279298224_1,1279298224_1.jpg,1279298224_1.pts,300W,train,451.0,1375.0,1729.0,97.0,68.0
12799337_1,12799337_1.jpg,12799337_1.pts,300W,train,228.0,1145.0,1292.0,80.0,68.0
1281789661_1,1281789661_1.jpg,1281789661_1.pts,300W,train,436.0,1139.0,1323.0,251.0,68.0
1290921548_1,1290921548_1.jpg,1290921548_1.pts,300W,train,374.0,1201.0,1262.0,313.0,68.0
1295311477_1,1295311477_1.jpg,1295311477_1.pts,300W,train,1462.0,605.0,1818.0,249.0,68.0
129594949_1,129594949_1.jpg,129594949_1.pts,300W,train,-98.0,897.0,640.0,158.0,68.0
129647068_1,129647068_1.jpg,129647068_1.pts,300W,train,-202.0,1437.0,1330.0,-95.0,68.0
1297446285_1,1297446285_1.jpg,1297446285_1.pts,300W,train,-243.0,1725.0,1597.0,-115.0,68.0
1302175180_1,1302175180_1.jpg,1302175180_1.pts,300W,train,106.0,1000.0,845.0,261.0,68.0
130361594_1,130361594_1.jpg,130361594_1.pts,300W,train,312.0,1000.0,1051.0,261.0,68.0
130625688_1,130625688_1.jpg,130625688_1.pts,300W,train,251.0,623.0,765.0,109.0,68.0
1308054912_1,1308054912_1.jpg,1308054912_1.pts,300W,train,131.0,705.0,747.0,88.0,68.0
1308649036_1,1308649036_1.jpg,1308649036_1.pts,300W,train,88.0,747.0,704.0,131.0,68.0
130927718_1,130927718_1.jpg,130927718_1.pts,300W,train,302.0,876.0,918.0,260.0,68.0
1312213009_1,1312213009_1.jpg,1312213009_1.pts,300W,train,259.0,833.0,875.0,217.0,68.0
1313109242_1,1313109242_1.jpg,1313109242_1.pts,300W,train,312.0,1201.0,1200.0,313.0,68.0
131437823_1,131437823_1.jpg,131437823_1.pts,300W,train,-39.0,461.0,576.0,-223.0,68.0
131787989_1,131787989_1.jpg,131787989_1.pts,300W,train,45.0,790.0,661.0,174.0,68.0
131853693_1,131853693_1.jpg,131853693_1.pts,300W,train,363.0,1103.0,1102.0,363.0,68.0
1327964792_1,1327964792_1.jpg,1327964792_1.pts,300W,train,629.0,2224.0,2837.0,16.0,68.0
133275413_1,133275413_1.jpg,133275413_1.pts,300W,train,374.0,1201.0,1262.0,313.0,68.0
1336365736_1,1336365736_1.jpg,1336365736_1.pts,300W,train,-217.0,846.0,605.0,107.0,68.0
134212_1,134212_1.jpg,134212_1.pts,300W,train,620.0,431.0,976.0,75.0,68.0
134212_2,134212_2.jpg,134212_2.pts,300W,train,100.0,456.0,456.0,100.0,68.0
1342606231_1,1342606231_1.jpg,1342606231_1.pts,300W,train,474.0,2377.0,2684.0,169.0,68.0
1344304961_1,1344304961_1.jpg,1344304961_1.pts,300W,train,209.0,846.0,948.0,107.0,68.0
1344739819_1,1344739819_1.jpg,1344739819_1.pts,300W,train,174.0,790.0,790.0,174.0,68.0
134979550_1,134979550_1.jpg,134979550_1.pts,300W,train,180.0,694.0,694.0,180.0,68.0
135246139_1,135246139_1.jpg,135246139_1.pts,300W,train,450.0,1367.0,1514.0,302.0,68.0
1353029373_1,1353029373_1.jpg,1353029373_1.pts,300W,train,215.0,730.0,729.0,216.0,68.0
1353452443_1,1353452443_1.jpg,1353452443_1.pts,300W,train,169.0,2684.0,2377.0,476.0,68.0
1356888436_1,1356888436_1.jpg,1356888436_1.pts,300W,train,108.0,551.0,622.0,37.0,68.0
1356962652_1,1356962652_1.jpg,1356962652_1.pts,300W,train,238.0,578.0,667.0,150.0,68.0
1357085028_1,1357085028_1.jpg,1357085028_1.pts,300W,train,376.0,1293.0,1440.0,228.0,68.0
13601258_1,13601258_1.jpg,13601258_1.pts,300W,train,158.0,846.0,897.0,107.0,68.0
13601448_1,13601448_1.jpg,13601448_1.pts,300W,train,158.0,846.0,897.0,107.0,68.0
13601661_1,13601661_1.jpg,13601661_1.pts,300W,train,302.0,790.0,918.0,174.0,68.0
13602254_1,13602254_1.jpg,13602254_1.pts,300W,train,158.0,949.0,897.0,209.0,68.0
13653802_1,13653802_1.jpg,13653802_1.pts,300W,train,302.0,576.0,918.0,-39.0,68.0
137346980_1,137346980_1.jpg,137346980_1.pts,300W,train,260.0,743.0,999.0,4.0,68.0
1375169218_1,1375169218_1.jpg,1375169218_1.pts,300W,train,144.0,480.0,658.0,-33.0,68.0
1377746898_1,1377746898_1.jpg,1377746898_1.pts,300W,train,106.0,897.0,845.0,158.0,68.0
13789611_1,13789611_1.jpg,13789611_1.pts,300W,train,430.0,919.0,1047.0,302.0,68.0
1379651992_1,1379651992_1.jpg,1379651992_1.pts,300W,train,322.0,2684.0,2530.0,476.0,68.0
1382054700_1,1382054700_1.jpg,1382054700_1.pts,300W,train,45.0,576.0,661.0,-39.0,68.0
1384775111_1,1384775111_1.jpg,1384775111_1.pts,300W,train,106.0,846.0,845.0,107.0,68.0
1385689774_1,1385689774_1.jpg,1385689774_1.pts,300W,train,3.0,897.0,743.0,158.0,68.0
1392458475_1,1392458475_1.jpg,1392458475_1.pts,300W,train,497.0,1262.0,1385.0,375.0,68.0
1394430375_1,1394430375_1.jpg,1394430375_1.pts,300W,train,312.0,1051.0,1051.0,312.0,68.0
13970241_1,13970241_1.jpg,13970241_1.pts,300W,train,251.0,623.0,765.0,109.0,68.0
1399115619_1,1399115619_1.jpg,1399115619_1.pts,300W,train,128.0,1077.0,1015.0,190.0,68.0
1402640447_1,1402640447_1.jpg,1402640447_1.pts,300W,train,-47.0,897.0,691.0,158.0,68.0
1404106170_1,1404106170_1.jpg,1404106170_1.pts,300W,train,-118.0,892.0,769.0,5.0,68.0
1404860998_1,1404860998_1.jpg,1404860998_1.pts,300W,train,1.0,730.0,515.0,216.0,68.0
140606432_1,140606432_1.jpg,140606432_1.pts,300W,train,37.0,587.0,551.0,73.0,68.0
1407641926_1,1407641926_1.jpg,1407641926_1.pts,300W,train,650.0,1981.0,2492.0,141.0,68.0
1408008592_1,1408008592_1.jpg,1408008592_1.pts,300W,train,-537.0,1853.0,1507.0,13.0,68.0
1408606093_1,1408606093_1.jpg,1408606093_1.pts,300W,train,4.0,1139.0,892.0,251.0,68.0
1409035501_1,1409035501_1.jpg,1409035501_1.pts,300W,train,-80.0,1641.0,1197.0,363.0,68.0
1409035501_2,1409035501_2.jpg,1409035501_2.pts,300W,train,363.0,1463.0,1640.0,186.0,68.0
1411496009_1,1411496009_1.jpg,1411496009_1.pts,300W,train,128.0,892.0,1015.0,5.0,68.0
1412970826_1,1412970826_1.jpg,1412970826_1.pts,300W,train,106.0,949.0,845.0,209.0,68.0
1413333405_1,1413333405_1.jpg,1413333405_1.pts,300W,train,209.0,1000.0,948.0,261.0,68.0
1414607508_1,1414607508_1.jpg,1414607508_1.pts,300W,train,451.0,1730.0,1729.0,452.0,68.0
1418178512_1,1418178512_1.jpg,1418178512_1.pts,300W,train,-98.0,692.0,640.0,-46.0,68.0
1418180068_1,1418180068_1.jpg,1418180068_1.pts,300W,train,2.0,619.0,619.0,3.0,68.0
1418181204_1,1418181204_1.jpg,1418181204_1.pts,300W,train,37.0,551.0,551.0,37.0,68.0
1419222657_1,1419222657_1.jpg,1419222657_1.pts,300W,train,154.0,1145.0,1218.0,80.0,68.0
1419583212_1,1419583212_1.jpg,1419583212_1.pts,300W,train,189.0,1077.0,1077.0,190.0,68.0
1420413841_1,1420413841_1.jpg,1420413841_1.pts,300W,train,174.0,876.0,790.0,260.0,68.0
1420413841_2,1420413841_2.jpg,1420413841_2.pts,300W,train,215.0,694.0,729.0,180.0,68.0
1421150832_1,1421150832_1.jpg,1421150832_1.pts,300W,train,222.0,1437.0,1756.0,-95.0,68.0
1422700214_1,1422700214_1.jpg,1422700214_1.pts,300W,train,-348.0,3220.0,2300.0,571.0,68.0
1425317189_1,1425317189_1.jpg,1425317189_1.pts,300W,train,66.0,1201.0,954.0,313.0,68.0
1425321029_1,1425321029_1.jpg,1425321029_1.pts,300W,train,55.0,1000.0,794.0,261.0,68.0
1425648903_2,1425648903_2.jpg,1425648903_2.pts,300W,train,215.0,694.0,729.0,180.0,68.0
1426539072_1,1426539072_1.jpg,1426539072_1.pts,300W,train,209.0,949.0,948.0,209.0,68.0
1426539072_2,1426539072_2.jpg,1426539072_2.pts,300W,train,251.0,730.0,765.0,216.0,68.0
1426553012_1,1426553012_1.jpg,1426553012_1.pts,300W,train,215.0,730.0,729.0,216.0,68.0
142661608_1,142661608_1.jpg,142661608_1.pts,300W,train,322.0,658.0,836.0,144.0,68.0
1427742925_1,1427742925_1.jpg,1427742925_1.pts,300W,train,-237.0,4109.0,3578.0,293.0,68.0
1429029478_1,1429029478_1.jpg,1429029478_1.pts,300W,train,302.0,1367.0,1366.0,302.0,68.0
1429860583_1,1429860583_1.jpg,1429860583_1.pts,300W,train,180.0,551.0,694.0,37.0,68.0
1430618662_1,1430618662_1.jpg,1430618662_1.pts,300W,train,37.0,623.0,551.0,109.0,68.0
143196796_1,143196796_1.jpg,143196796_1.pts,300W,train,312.0,1077.0,1200.0,190.0,68.0
1434217156_1,1434217156_1.jpg,1434217156_1.pts,300W,train,524.0,2236.0,2364.0,396.0,68.0
1436253170_1,1436253170_1.jpg,1436253170_1.pts,300W,train,598.0,1441.0,1662.0,376.0,68.0
1439641049_1,1439641049_1.jpg,1439641049_1.pts,300W,train,450.0,1367.0,1514.0,302.0,68.0
14403172_1,14403172_1.jpg,14403172_1.pts,300W,train,363.0,1051.0,1102.0,312.0,68.0
1440500396_1,1440500396_1.jpg,1440500396_1.pts,300W,train,259.0,876.0,875.0,260.0,68.0
1440501186_1,1440501186_1.jpg,1440501186_1.pts,300W,train,215.0,694.0,729.0,180.0,68.0
1440954875_1,1440954875_1.jpg,1440954875_1.pts,300W,train,-56.0,831.0,830.0,-56.0,68.0
14424972_1,14424972_1.jpg,14424972_1.pts,300W,train,90.0,1083.0,518.0,655.0,68.0
1443377029_1,1443377029_1.jpg,1443377029_1.pts,300W,train,312.0,1139.0,1200.0,251.0,68.0
144402621_1,144402621_1.jpg,144402621_1.pts,300W,train,180.0,694.0,694.0,180.0,68.0
1447083015_1,1447083015_1.jpg,1447083015_1.pts,300W,train,209.0,949.0,948.0,209.0,68.0
1447762196_1,1447762196_1.jpg,1447762196_1.pts,300W,train,216.0,662.0,833.0,46.0,68.0
144837725_1,144837725_1.jpg,144837725_1.pts,300W,train,209.0,608.0,637.0,179.0,68.0
145548320_1,145548320_1.jpg,145548320_1.pts,300W,train,203.0,2484.0,2852.0,-164.0,68.0
1455826575_1,1455826575_1.jpg,1455826575_1.pts,300W,train,259.0,705.0,875.0,88.0,68.0
1458242965_1,1458242965_1.jpg,1458242965_1.pts,300W,train,302.0,876.0,918.0,260.0,68.0
1459110420_1,1459110420_1.jpg,1459110420_1.pts,300W,train,302.0,833.0,918.0,217.0,68.0
1461557880_1,1461557880_1.jpg,1461557880_1.pts,300W,train,376.0,1293.0,1440.0,228.0,68.0
146623854_1,146623854_1.jpg,146623854_1.pts,300W,train,174.0,747.0,790.0,131.0,68.0
1466887621_1,1466887621_1.jpg,1466887621_1.pts,300W,train,312.0,1139.0,1200.0,251.0,68.0
1467878637_1,1467878637_1.jpg,1467878637_1.pts,300W,train,80.0,1071.0,1145.0,6.0,68.0
146827737_1,146827737_1.jpg,146827737_1.pts,300W,train,-33.0,658.0,480.0,144.0,68.0
1468798538_1,1468798538_1.jpg,1468798538_1.pts,300W,train,598.0,1589.0,1662.0,524.0,68.0
146978430_1,146978430_1.jpg,146978430_1.pts,300W,train,1.0,587.0,515.0,73.0,68.0
1470006576_1,1470006576_1.jpg,1470006576_1.pts,300W,train,450.0,1367.0,1514.0,302.0,68.0
147110327_1,147110327_1.jpg,147110327_1.pts,300W,train,779.0,1981.0,2619.0,141.0,68.0
1471928356_1,1471928356_1.jpg,1471928356_1.pts,300W,train,73.0,551.0,587.0,37.0,68.0
147226455_1,147226455_1.jpg,147226455_1.pts,300W,train,436.0,1139.0,1323.0,251.0,68.0
1477005205_1,1477005205_1.jpg,1477005205_1.pts,300W,train,376.0,1219.0,1440.0,154.0,68.0
148348993_1,148348993_1.jpg,148348993_1.pts,300W,train,15.0,2071.0,2223.0,-138.0,68.0
148351850_1,148351850_1.jpg,148351850_1.pts,300W,train,363.0,1051.0,1102.0,312.0,68.0
149162488_1,149162488_1.jpg,149162488_1.pts,300W,train,251.0,730.0,765.0,216.0,68.0
149773224_1,149773224_1.jpg,149773224_1.pts,300W,train,15.0,2224.0,2223.0,16.0,68.0
1499030378_1,1499030378_1.jpg,1499030378_1.pts,300W,train,174.0,662.0,790.0,46.0,68.0
15024375_1,15024375_1.jpg,15024375_1.pts,300W,train,-96.0,1256.0,1436.0,-447.0,68.0
150324675_1,150324675_1.jpg,150324675_1.pts,300W,train,-150.0,658.0,418.0,144.0,68.0
1504594019_1,1504594019_1.jpg,1504594019_1.pts,300W,train,222.0,1863.0,1756.0,329.0,68.0
150557677_1,150557677_1.jpg,150557677_1.pts,300W,train,-217.0,949.0,605.0,209.0,68.0
150766294_2,150766294_2.jpg,150766294_2.pts,300W,train,451.0,1641.0,1729.0,363.0,68.0
1507775914_1,1507775914_1.jpg,1507775914_1.pts,300W,train,106.0,846.0,845.0,107.0,68.0
1515641689_1,1515641689_1.jpg,1515641689_1.pts,300W,train,216.0,833.0,833.0,217.0,68.0
1517093691_1,1517093691_1.jpg,1517093691_1.pts,300W,train,45.0,876.0,661.0,260.0,68.0
151902153_1,151902153_1.jpg,151902153_1.pts,300W,train,861.0,2076.0,2395.0,542.0,68.0
151905797_1,151905797_1.jpg,151905797_1.pts,300W,train,203.0,2668.0,2852.0,19.0,68.0
151906456_1,151906456_1.jpg,151906456_1.pts,300W,train,387.0,2668.0,3036.0,19.0,68.0
